C:\Users\user\Desktop\Data\IMG\center_2020_01_22_13_54_09_730.jpg, C:\Users\user\Desktop\Data\IMG\left_2020_01_22_13_54_09_730.jpg, C:\Users\user\Desktop\Data\IMG\right_2020_01_22_13_54_09_730.jpg, 0, 0, 0, 7.964129E-05
C:\Users\user\Desktop\Data\IMG\center_2020_01_22_13_54_09_831.jpg, C:\Users\user\Desktop\Data\IMG\left_2020_01_22_13_54_09_831.jpg, C:\Users\user\Desktop\Data\IMG\right_2020_01_22_13_54_09_831.jpg, 0, 0, 0, 8.018355E-05
C:\Users\user\Desktop\Data\IMG\center_2020_01_22_13_54_09_930.jpg, C:\Users\user\Desktop\Data\IMG\left_2020_01_22_13_54_09_930.jpg, C:\Users\user\Desktop\Data\IMG\right_2020_01_22_13_54_09_930.jpg, 0, 0, 0, 7.772365E-05
C:\Users\user\Desktop\Data\IMG\center_2020_01_22_13_54_10_039.jpg, C:\Users\user\Desktop\Data\IMG\left_2020_01_22_13_54_10_039.jpg, C:\Users\user\Desktop\Data\IMG\right_2020_01_22_13_54_10_039.jpg, 0, 0, 0, 7.812929E-05
C:\Users\user\Desktop\Data\IMG\center_2020_01_22_13_54_10_139.jpg, C:\Users\user\Desktop\Data\IMG\left_2020_01_22_13_54_10_139.jpg, C:\Users\user\Desktop\Data\IMG\right_2020_01_22_13_54_10_139.jpg, 0, 0, 0, 7.802463E-05
C:\Users\user\Desktop\Data\IMG\center_2020_01_22_13_54_10_240.jpg, C:\Users\user\Desktop\Data\IMG\left_2020_01_22_13_54_10_240.jpg, C:\Users\user\Desktop\Data\IMG\right_2020_01_22_13_54_10_240.jpg, 0, 0, 0, 7.987103E-05
C:\Users\user\Desktop\Data\IMG\center_2020_01_22_13_54_10_344.jpg, C:\Users\user\Desktop\Data\IMG\left_2020_01_22_13_54_10_344.jpg, C:\Users\user\Desktop\Data\IMG\right_2020_01_22_13_54_10_344.jpg, 0, 0, 0, 7.845752E-05
C:\Users\user\Desktop\Data\IMG\center_2020_01_22_13_54_10_445.jpg, C:\Users\user\Desktop\Data\IMG\left_2020_01_22_13_54_10_445.jpg, C:\Users\user\Desktop\Data\IMG\right_2020_01_22_13_54_10_445.jpg, 0, 0, 0, 7.82405E-05
C:\Users\user\Desktop\Data\IMG\center_2020_01_22_13_54_10_552.jpg, C:\Users\user\Desktop\Data\IMG\left_2020_01_22_13_54_10_552.jpg, C:\Users\user\Desktop\Data\IMG\right_2020_01_22_13_54_10_552.jpg, 0, 0, 0, 7.823647E-05
C:\Users\user\Desktop\Data\IMG\center_2020_01_22_13_54_10_659.jpg, C:\Users\user\Desktop\Data\IMG\left_2020_01_22_13_54_10_659.jpg, C:\Users\user\Desktop\Data\IMG\right_2020_01_22_13_54_10_659.jpg, 0, 0, 0, 7.963837E-05
